,shape,price,carat,cut,color,clarity,report,type
509,9,500,0.31,3,4,3,1,1
510,4,500,0.3,2,1,3,1,1
511,4,500,0.3,2,2,3,1,1
512,6,500,0.3,2,0,2,1,1
513,6,500,0.3,4,1,5,1,1
514,2,500,0.3,2,1,2,1,1
515,2,500,0.3,4,0,2,1,1
516,2,500,0.3,4,2,2,1,1
517,6,500,0.3,2,4,5,1,1
518,9,500,0.25,3,3,7,1,1
519,2,500,0.3,2,0,3,1,1
520,9,500,0.3,4,2,2,1,1
521,7,500,0.33,2,2,2,1,1
522,4,500,0.3,4,1,2,1,1
523,9,500,0.31,3,5,4,1,1
524,9,500,0.3,3,2,3,1,1
525,9,500,0.32,3,6,5,1,1
526,9,500,0.3,4,4,2,1,1
527,6,500,0.3,4,3,5,1,1
528,6,500,0.3,4,5,4,1,1
529,6,500,0.3,4,2,2,1,1
530,7,500,0.3,2,3,2,1,1
531,4,500,0.31,4,1,3,1,1
532,6,500,0.31,2,5,5,1,1
533,7,500,0.32,4,2,3,1,1
534,7,500,0.29,2,3,5,1,1
535,7,500,0.31,4,2,2,1,1
536,2,500,0.31,2,5,5,1,1
537,6,500,0.3,2,3,2,1,1
538,2,500,0.3,2,0,2,1,1
539,9,500,0.25,2,2,5,1,1
540,9,500,0.3,4,5,4,1,1
541,9,500,0.25,3,1,5,1,1
542,9,500,0.3,3,4,3,1,1
543,9,500,0.3,3,3,3,1,1
544,9,500,0.35,3,6,7,1,1
545,7,500,0.31,2,5,4,1,1
546,9,500,0.3,2,5,4,1,1
547,7,510,0.31,4,2,2,1,1
548,7,510,0.31,2,1,3,1,1
549,7,510,0.31,2,3,5,1,1
550,7,510,0.35,2,4,2,1,1
551,7,510,0.3,4,1,2,1,1
552,7,510,0.3,2,3,7,1,1
553,7,510,0.3,2,1,2,1,1
554,7,510,0.32,2,4,7,1,1
555,4,510,0.3,4,2,2,1,1
556,6,510,0.3,4,2,2,1,1
557,7,510,0.3,1,3,7,1,1
558,6,510,0.3,2,1,2,1,1
559,6,510,0.3,2,4,5,1,1
560,6,510,0.3,4,5,5,1,1
561,2,510,0.34,2,5,4,1,1
562,9,510,0.3,3,6,2,1,1
563,9,510,0.25,4,4,6,1,1
564,7,510,0.3,2,3,2,1,1
565,2,510,0.31,2,3,2,1,1
566,9,510,0.3,1,2,2,1,1
567,9,510,0.3,1,3,2,1,1
568,9,510,0.3,2,1,2,1,1
569,9,510,0.25,3,1,5,1,1
570,9,510,0.3,4,1,3,1,1
571,9,510,0.31,3,3,3,1,1
572,6,510,0.31,2,2,3,1,1
573,2,510,0.3,4,4,5,1,1
574,9,510,0.3,2,2,3,1,1
575,9,510,0.33,3,2,3,1,1
576,7,510,0.3,3,3,2,1,1
577,7,510,0.32,3,5,5,1,1
578,7,510,0.31,4,3,5,1,1
579,7,510,0.26,2,1,5,1,1
580,7,510,0.31,2,2,2,1,1
581,7,510,0.32,2,3,2,1,1
582,7,510,0.3,4,3,7,1,1
583,9,510,0.3,4,5,4,1,1
584,6,510,0.3,2,5,5,1,1
585,4,510,0.3,2,4,2,1,1
586,2,510,0.3,2,3,2,1,1
587,9,510,0.33,2,5,3,1,1
588,2,510,0.31,2,1,2,1,1
589,9,510,0.31,4,3,3,1,1
590,6,510,0.3,2,5,4,1,1
591,9,510,0.3,4,2,3,1,1
592,9,510,0.25,2,1,5,1,1
593,9,510,0.33,3,6,1,1,1
594,9,510,0.26,2,3,4,1,1
595,4,510,0.4,2,6,2,1,1
596,2,510,0.3,4,0,2,1,1
597,2,510,0.3,2,5,6,1,1
598,7,510,0.3,2,0,3,1,1
599,2,510,0.29,4,1,4,1,1
600,7,510,0.27,2,0,5,1,1
601,7,510,0.31,2,0,3,1,1
602,7,510,0.28,4,4,6,1,1
603,4,510,0.34,2,5,3,1,1
604,9,510,0.33,3,3,2,1,1
605,7,510,0.3,2,2,2,1,1
606,9,510,0.36,3,4,3,1,1
607,2,510,0.31,3,5,1,1,1
608,5,510,0.3,2,3,2,1,1
609,9,510,0.31,3,4,3,1,1
610,9,510,0.31,3,2,2,1,1
611,9,510,0.3,3,5,5,1,1
612,9,510,0.3,3,6,7,1,1
613,9,510,0.3,2,1,3,1,1
614,4,510,0.31,2,2,3,1,1
615,5,510,0.33,4,6,4,1,1
616,7,510,0.26,2,2,7,1,1
